iter	Passed	Remaining
0	56	56275
1	56	28328
2	57	18990
3	57	14319
4	57	11507
5	58	9656
6	58	8331
7	59	7329
8	59	6544
9	59	5916
10	60	5402
11	60	4977
12	60	4618
13	61	4308
14	61	4039
15	61	3801
16	62	3593
17	62	3406
18	62	3239
19	63	3089
20	63	2953
21	63	2829
22	63	2717
23	64	2614
24	64	2520
25	65	2436
26	65	2356
27	65	2283
28	66	2214
29	66	2150
30	66	2088
31	67	2030
32	67	1977
33	67	1924
34	68	1875
35	68	1829
36	68	1785
37	68	1744
38	69	1704
39	69	1666
40	69	1631
41	70	1597
42	70	1565
43	70	1535
44	70	1506
45	71	1478
46	71	1452
47	71	1426
48	72	1401
49	72	1377
50	72	1354
51	73	1332
52	73	1311
53	73	1292
54	74	1273
55	74	1255
56	74	1237
57	75	1219
58	75	1202
59	75	1185
60	75	1169
61	76	1153
62	76	1138
63	76	1123
64	77	1109
65	77	1094
66	77	1082
67	77	1068
68	78	1056
69	78	1044
70	78	1031
71	79	1019
72	79	1007
73	79	996
74	79	985
75	80	974
76	80	964
77	80	953
78	80	943
79	81	934
80	81	925
81	81	915
82	81	904
83	82	896
84	82	887
85	82	879
86	82	870
87	83	862
88	83	854
89	83	847
90	84	839
91	84	832
92	84	825
93	84	817
94	85	811
95	85	804
96	85	797
97	85	790
98	86	784
99	86	777
100	86	771
101	86	765
102	87	759
103	87	753
104	87	747
105	88	743
106	88	737
107	88	732
108	88	727
109	89	721
110	89	716
111	89	711
112	89	706
113	90	701
114	90	696
115	90	691
116	90	686
117	91	681
118	91	677
119	91	672
120	92	668
121	92	663
122	92	659
123	92	655
124	93	651
125	93	648
126	93	643
127	93	639
128	94	635
129	94	632
130	94	628
131	94	624
132	95	620
133	95	617
134	95	613
135	96	610
136	96	607
137	96	603
138	96	600
139	97	597
140	97	594
141	97	590
142	97	587
143	98	583
144	98	580
145	98	577
146	99	574
147	99	571
148	99	568
149	99	565
150	100	562
151	100	559
152	100	557
153	100	554
154	101	551
155	101	549
156	101	546
157	102	543
158	102	541
159	102	539
160	103	536
161	103	534
162	103	532
163	103	529
164	104	527
165	104	525
166	104	522
167	105	520
168	105	517
169	105	515
170	105	512
171	106	510
172	106	508
173	106	506
174	106	503
175	107	501
176	107	499
177	107	497
178	107	494
179	108	492
180	108	490
181	108	488
182	109	486
183	109	484
184	109	482
185	109	480
186	110	478
187	110	476
188	110	474
189	110	472
190	111	470
191	111	469
192	111	467
193	112	465
194	112	463
195	112	461
196	112	460
197	113	458
198	113	456
199	113	454
200	113	452
201	114	451
202	114	449
203	114	447
204	115	446
205	115	444
206	115	442
207	115	440
208	116	439
209	116	437
210	116	435
211	116	434
212	117	432
213	117	431
214	117	430
215	118	428
216	118	427
217	118	425
218	118	423
219	119	422
220	119	420
221	119	419
222	119	417
223	120	416
224	120	414
225	120	413
226	121	412
227	121	410
228	121	409
229	121	407
230	122	406
231	122	405
232	122	403
233	122	402
234	123	400
235	123	399
236	123	398
237	123	396
238	124	395
239	124	393
240	124	392
241	124	391
242	125	390
243	125	388
244	125	387
245	126	386
246	126	385
247	126	383
248	126	382
249	127	381
250	127	380
251	127	378
252	127	377
253	128	376
254	128	375
255	128	374
256	128	372
257	129	371
258	129	370
259	129	369
260	130	368
261	130	367
262	130	365
263	130	364
264	131	363
265	131	362
266	131	361
267	131	360
268	132	359
269	132	358
270	132	357
271	133	356
272	133	355
273	133	354
274	133	353
275	134	352
276	134	351
277	134	349
278	135	348
279	135	347
280	135	346
281	135	345
282	136	344
283	136	343
284	136	342
285	136	341
286	137	340
287	137	339
288	137	338
289	137	337
290	138	336
291	138	335
292	138	334
293	138	333
294	139	332
295	139	331
296	139	330
297	139	329
298	140	328
299	140	327
300	140	326
301	140	325
302	141	324
303	141	323
304	141	323
305	142	322
306	142	321
307	142	320
308	142	319
309	143	318
310	143	318
311	143	317
312	144	316
313	144	315
314	144	314
315	144	313
316	145	312
317	145	311
318	145	311
319	145	310
320	146	309
321	146	308
322	146	307
323	147	306
324	147	305
325	147	305
326	147	304
327	148	303
328	148	303
329	148	302
330	149	301
331	149	300
332	149	299
333	149	298
334	150	298
335	150	297
336	150	296
337	151	295
338	151	294
339	151	294
340	151	293
341	152	292
342	152	291
343	152	291
344	152	290
345	153	289
346	153	288
347	153	288
348	154	287
349	154	286
350	154	285
351	154	285
352	155	284
353	155	283
354	155	282
355	155	282
356	156	281
357	156	280
358	156	279
359	156	278
